P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE,NUM_L,NUM_R,NUM_X,PROP_L,PROP_R,PROP_X,HAS_X
p1_009,3,C,f,,,,L,L,L,L,R,R,R,R,R,,,,R3,R3,R1,R1,2,4,prolific1,2330.3376190476192,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_009,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_011,2,L,m,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,4,prolific1,2535.4665569615568,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_011,3,C,a,,,,L,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific1,2482.226825396825,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_011,3,L,f,L,R,L,R,R,L,L,R,L,,,,,,,L2,R1,L2,R1,2,1,prolific1,2176.07,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_011,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_012,3,C,b,,,,R,R,R,R,R,R,R,R,L,,,,L1,L3,R1,R1,0,2,prolific1,2417.3246560846565,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_012,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L2,L1,R1,R3,0,4,prolific1,2545.2444444444445,0,9,0,0.0,1.0,0.0,0
p1_012,2,R,a,,,,,,,L,X,X,X,X,X,X,X,R,L,L,R,R,0,3,prolific1,2492.1836507936505,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,1
p1_012,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,X,L,R,R,1,1,prolific1,2506.9316022866024,9,0,0,1.0,0.0,0.0,0
p1_013,3,C,a,,,,L,L,L,L,L,L,L,L,R,,,,X1,L1,R2,R1,1,1,prolific1,2435.661111111111,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_013,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_013,2,R,b,,,,,,,X,X,X,X,X,X,X,X,X,L,L,X,R,1,3,prolific1,2471.391111111111,0,0,9,0.0,0.0,1.0,1
p1_013,3,L,f,L,L,L,L,L,R,R,R,R,,,,,,,L1,L1,R1,R1,0,2,prolific1,2492.535555555555,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_014,2,L,a,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,0,1,prolific1,2542.2136204536205,8,0,1,0.8888888888888888,0.0,0.1111111111111111,1
p1_014,2,C,f,,,,L,X,X,X,R,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2466.8747619047617,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,1
p1_014,3,C,m,,,,X,X,X,X,X,X,X,R,R,,,,L1,L2,R1,R1,0,4,prolific1,2494.077777777778,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p1_014,3,R,b,,,,,,,X,X,L,X,R,R,R,R,R,L1,L1,X1,R1,1,3,prolific1,2453.866666666667,1,5,3,0.1111111111111111,0.5555555555555556,0.3333333333333333,1
p1_015,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2478.3723328523324,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_015,3,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_015,2,L,b,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,1,prolific1,2535.4665569615568,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_015,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,2,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_016,2,R,a,,,,,,,L,L,L,X,X,X,R,R,R,L,L,R,R,0,1,prolific1,2474.5122222222226,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
p1_016,3,C,b,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R3,0,4,prolific1,2496.561111111111,9,0,0,1.0,0.0,0.0,0
p1_016,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_016,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2554.155555555556,0,9,0,0.0,1.0,0.0,0
p1_018,3,C,m,,,,X,X,X,X,X,R,X,R,R,,,,L1,L1,R1,R1,0,2,prolific1,2481.6688888888893,0,3,6,0.0,0.3333333333333333,0.6666666666666666,1
p1_018,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_018,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_018,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,X,L,R,R,1,1,prolific1,2431.91517982018,9,0,0,1.0,0.0,0.0,0
p1_019,3,L,m,X,X,X,X,L,R,X,R,R,,,,,,,L1,L2,R1,R1,0,1,prolific1,2431.094444444445,1,3,5,0.1111111111111111,0.3333333333333333,0.5555555555555556,1
p1_019,2,C,a,,,,L,L,L,L,X,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2481.7759451659454,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
p1_019,3,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L2,L1,R1,R1,0,4,prolific1,2559.855555555556,0,9,0,0.0,1.0,0.0,0
p1_019,2,L,b,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2506.088888888889,0,0,9,0.0,0.0,1.0,1
p1_020,2,L,a,X,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2501.8029365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
p1_020,3,C,m,,,,R,R,R,R,R,R,R,L,L,,,,L1,L1,R1,R1,0,1,prolific1,2356.042222222222,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_020,2,C,f,,,,L,L,X,L,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2478.850555555556,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p1_020,3,R,b,,,,,,,L,L,L,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific1,2508.9822222222224,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_021,2,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L,L,R,R,0,3,prolific1,2419.0549019499017,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_021,3,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L1,L1,R1,R1,0,4,prolific1,2445.4111111111115,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_021,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_021,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_022,2,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,4,prolific1,2419.054901949902,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_022,3,L,m,L,L,L,L,L,L,L,L,R,,,,,,,X1,L1,R1,R1,1,1,prolific1,2497.011111111111,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_022,3,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,X1,1,2,prolific1,2513.5,0,9,0,0.0,1.0,0.0,0
p1_022,2,C,a,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2478.8433140933143,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_024,3,L,b,L,R,R,L,R,L,L,L,L,,,,,,,L1,L1,R1,R1,0,2,prolific1,2403.055555555556,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p1_024,3,R,a,,,,,,,L,L,L,L,R,R,R,R,R,L1,L1,R1,R1,0,1,prolific1,2489.472222222222,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_024,2,R,f,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,3,prolific1,2506.0888888888885,0,0,9,0.0,0.0,1.0,1
p1_024,2,C,m,,,,L,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,4,prolific1,2486.345767195768,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666,1
p1_026,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific1,2562.811111111111,9,0,0,1.0,0.0,0.0,0
p1_026,3,C,f,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,X1,1,2,prolific1,2432.1288888888885,0,9,0,0.0,1.0,0.0,0
