P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE,NUM_L,NUM_R,NUM_X,PROP_L,PROP_R,PROP_X,HAS_X
p1_106,3,C,m,,,,L,R,R,R,R,R,R,R,R,,,,L2,R2,R1,R3,1,4,prolific1,2377.4245021645024,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_106,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,X,X,R,R,2,1,prolific1,2468.94878972879,9,0,0,1.0,0.0,0.0,0
p1_106,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2557.477777777778,0,9,0,0.0,1.0,0.0,0
p1_106,2,C,f,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_107,2,C,b,,,,L,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2477.260729455729,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_107,2,R,m,,,,,,,L,L,X,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2481.185661375661,2,2,5,0.2222222222222222,0.2222222222222222,0.5555555555555556,1
p1_107,3,C,f,,,,X,X,X,X,X,X,X,X,X,,,,L1,L2,R3,R3,0,2,prolific1,2504.555555555556,0,0,9,0.0,0.0,1.0,1
p1_107,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_108,2,C,a,,,,L,L,L,L,L,L,L,R,R,,,,L,L,R,R,0,3,prolific1,2477.677455692456,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_108,3,R,f,,,,,,,L,L,L,L,R,R,R,R,R,L1,L3,R1,R1,0,2,prolific1,2470.0133333333333,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_108,3,L,m,L,R,R,R,R,R,R,R,R,,,,,,,L2,L2,R1,R1,0,4,prolific1,2418.826984126985,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_108,2,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,1,prolific1,2419.054901949902,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_109,3,L,f,L,L,L,L,L,L,L,R,R,,,,,,,L1,L1,R1,R1,0,2,prolific1,2528.2833333333338,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_109,3,C,a,,,,L,L,L,L,L,L,X,X,R,,,,L1,L1,R1,R1,0,1,prolific1,2484.455555555556,6,1,2,0.6666666666666666,0.1111111111111111,0.2222222222222222,1
p1_109,2,R,b,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2534.517259037259,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
p1_109,2,L,m,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,0,4,prolific1,2519.055407185407,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_111,2,C,m,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,3,prolific1,2477.9032017057016,9,0,0,1.0,0.0,0.0,0
p1_111,2,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L,L,R,R,0,4,prolific1,2419.0549019499017,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_111,3,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_111,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_112,2,C,b,,,,X,X,X,X,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2477.1562578162584,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
p1_112,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_112,3,C,f,,,,X,X,X,X,X,X,X,X,R,,,,L1,L1,R1,R1,0,2,prolific1,2501.427777777778,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_112,3,L,a,L,L,L,L,L,X,X,X,X,,,,,,,L1,L1,R1,R1,0,1,prolific1,2530.1444444444446,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_113,3,C,a,,,,X,X,R,X,R,R,R,R,R,,,,L1,L1,R1,R1,0,2,prolific1,2464.98761904762,0,6,3,0.0,0.6666666666666666,0.3333333333333333,1
p1_113,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_113,3,L,f,L,L,R,R,R,R,R,R,R,,,,,,,L3,L3,R1,X1,1,4,prolific1,2403.811111111111,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_113,2,R,b,,,,,,,X,X,X,X,R,R,R,R,R,L,L,R,R,0,3,prolific1,2524.84303992304,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
p1_114,3,L,b,R,L,R,R,L,L,L,L,R,,,,,,,L2,L2,L2,R1,1,4,prolific1,2238.966666666667,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_114,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_114,2,R,f,,,,,,,L,L,L,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2503.126341621341,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_114,2,C,m,,,,L,L,L,R,R,L,L,R,R,,,,L,L,R,L,1,1,prolific1,2348.877523217523,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_115,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_115,2,L,b,X,X,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,2,prolific1,2488.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_115,3,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L3,L3,R1,R1,0,3,prolific1,2559.5444444444447,0,9,0,0.0,1.0,0.0,0
p1_115,3,L,m,L,L,L,L,L,L,L,R,R,,,,,,,L1,L2,R1,R3,0,4,prolific1,2517.3,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_116,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_116,3,C,b,,,,L,L,L,L,R,R,R,R,R,,,,X1,L1,R1,R1,1,1,prolific1,2440.405396825397,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_116,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_116,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_117,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_117,3,C,f,,,,X,X,X,X,X,X,X,X,R,,,,L1,L1,R1,R3,0,4,prolific1,2499.1833333333334,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_117,2,C,b,,,,L,L,L,L,L,L,X,X,X,,,,L,L,R,R,0,1,prolific1,2473.6606661856663,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p1_117,3,L,a,L,L,X,X,X,X,R,R,R,,,,,,,L1,L1,R1,R1,0,3,prolific1,2476.072222222222,2,3,4,0.2222222222222222,0.3333333333333333,0.4444444444444444,1
p1_118,2,L,b,X,X,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,4,prolific1,2488.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_118,3,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L1,L3,R1,R1,0,3,prolific1,2558.3,0,9,0,0.0,1.0,0.0,0
p1_118,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,X1,L1,R1,R1,1,1,prolific1,2513.5,9,0,0,1.0,0.0,0.0,0
p1_118,2,C,a,,,,X,X,X,X,R,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2477.1562578162584,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
p1_119,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_119,2,R,b,,,,,,,L,L,L,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2503.126341621341,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_119,3,C,a,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,4,prolific1,2482.541168831169,0,9,0,0.0,1.0,0.0,0
p1_119,3,L,f,L,L,L,L,L,L,L,L,X,,,,,,,L1,L1,R1,R1,0,1,prolific1,2548.222222222222,8,0,1,0.8888888888888888,0.0,0.1111111111111111,1
p1_120,2,R,f,,,,,,,X,X,X,X,X,X,X,X,R,X,L,R,R,1,2,prolific1,2444.2240476190477,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_120,2,C,m,,,,L,R,R,R,L,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2447.181800976801,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_120,3,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L1,L1,R2,R1,0,3,prolific1,2481.977777777778,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_120,3,R,a,,,,,,,L,X,X,X,X,X,X,X,R,L1,L1,R1,R1,0,1,prolific1,2494.9333333333334,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,1
p1_121,2,L,f,L,L,X,L,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2509.47373015873,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p1_121,2,R,a,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,3,prolific1,2510.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_121,3,C,b,,,,L,L,L,L,L,L,L,X,X,,,,L1,L1,R1,R1,0,1,prolific1,2479.0666666666666,7,0,2,0.7777777777777778,0.0,0.2222222222222222,1
p1_121,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific1,2559.7666666666664,0,9,0,0.0,1.0,0.0,0
p1_122,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_122,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_122,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,4,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_122,3,C,a,,,,L,L,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,2,prolific1,2482.803492063492,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_123,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_123,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific1,2562.6833333333334,9,0,0,1.0,0.0,0.0,0
p1_123,3,R,f,,,,,,,L,L,L,L,L,L,L,L,L,L1,L1,R1,R1,0,3,prolific1,2433.388888888889,9,0,0,1.0,0.0,0.0,0
p1_123,2,L,b,L,R,L,X,X,X,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2427.8097643097644,2,4,3,0.2222222222222222,0.4444444444444444,0.3333333333333333,1
p1_124,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_124,3,R,m,,,,,,,L,L,L,L,L,L,L,L,L,L1,L1,L2,L2,2,3,prolific1,2298.682510637511,9,0,0,1.0,0.0,0.0,0
p1_124,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_124,3,C,b,,,,L,L,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,2,prolific1,2478.154285714286,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_125,2,R,f,,,,,,,X,X,X,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2529.0378495578498,0,6,3,0.0,0.6666666666666666,0.3333333333333333,1
p1_125,2,C,m,,,,L,L,L,L,L,L,L,X,R,,,,L,L,R,R,0,1,prolific1,2473.143117068117,7,1,1,0.7777777777777778,0.1111111111111111,0.1111111111111111,1
p1_125,3,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific1,2540.828253968254,9,0,0,1.0,0.0,0.0,0
p1_125,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L2,L1,R1,R1,0,4,prolific1,2558.0,0,9,0,0.0,1.0,0.0,0
p1_126,3,C,m,,,,L,L,R,R,R,R,R,R,R,,,,L1,L1,R1,X1,1,4,prolific1,2441.088888888889,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_126,2,C,f,,,,X,X,X,X,X,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2481.775945165946,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
p1_126,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L3,L1,R1,R1,0,1,prolific1,2552.977777777778,0,9,0,0.0,1.0,0.0,0
p1_126,2,L,a,L,L,L,L,L,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2524.84303992304,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_127,2,R,b,,,,,,,R,L,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2524.483223628224,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_127,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_127,3,C,a,,,,L,L,L,L,L,R,R,R,R,,,,X1,L1,R1,R1,1,1,prolific1,2442.1376190476194,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_127,2,L,m,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2506.088888888889,0,0,9,0.0,0.0,1.0,1
p1_128,3,R,f,,,,,,,L,L,L,L,L,L,L,L,L,L1,L1,R1,R3,0,3,prolific1,2432.2111111111108,9,0,0,1.0,0.0,0.0,0
p1_128,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_128,2,L,b,L,L,L,X,X,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2464.7082034632035,3,4,2,0.3333333333333333,0.4444444444444444,0.2222222222222222,1
p1_128,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific1,2562.088888888889,9,0,0,1.0,0.0,0.0,0
p1_129,2,R,a,,,,,,,X,X,X,X,X,R,R,R,R,L,L,R,R,0,4,prolific1,2521.222972582973,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
p1_129,3,C,b,,,,L,L,L,L,X,X,X,X,X,,,,L1,L1,R1,R1,0,1,prolific1,2485.206666666667,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
p1_129,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2557.477777777778,0,9,0,0.0,1.0,0.0,0
p1_129,2,L,f,L,L,L,L,L,L,L,R,R,,,,,,,L,L,X,X,2,2,prolific1,2448.848211418212,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_130,2,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,2,prolific1,2510.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_130,3,L,b,L,L,R,R,R,R,R,R,R,,,,,,,L1,L1,R1,R1,0,4,prolific1,2440.429206349206,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_130,3,R,a,,,,,,,X,X,X,X,X,X,R,R,R,L1,L2,R1,R1,0,3,prolific1,2520.266666666667,0,3,6,0.0,0.3333333333333333,0.6666666666666666,1
p1_130,2,C,m,,,,L,L,L,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2487.067222222222,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p1_131,3,L,a,L,L,L,L,L,X,X,X,X,,,,,,,L1,L1,R1,R3,0,4,prolific1,2528.211111111111,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_131,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,1,prolific1,2506.0888888888885,0,0,9,0.0,0.0,1.0,1
p1_131,3,C,f,,,,L,L,L,R,R,R,R,R,R,,,,L1,L1,R1,X1,1,2,prolific1,2439.1944444444443,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_131,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_132,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_132,3,C,m,,,,L,L,L,L,L,L,X,X,X,,,,L1,L1,R1,R1,0,1,prolific1,2481.038888888889,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p1_132,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2562.811111111111,0,9,0,0.0,1.0,0.0,0
p1_132,2,C,f,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,2,prolific1,2499.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_133,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,X,1,4,prolific1,2433.8618109668114,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_133,3,L,m,L,L,L,L,L,L,L,X,X,,,,,,,L1,L1,R1,R1,0,1,prolific1,2539.5666666666666,7,0,2,0.7777777777777778,0.0,0.2222222222222222,1
p1_133,3,R,f,,,,,,,X,X,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2538.2277777777776,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
p1_133,2,L,b,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2510.0529365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
p1_134,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_134,3,L,f,L,L,L,L,L,L,L,L,R,,,,,,,L1,L1,R1,R1,0,4,prolific1,2541.6,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_134,3,C,a,,,,L,L,L,L,L,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific1,2492.738888888889,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_134,2,L,m,L,L,L,L,L,L,X,X,X,,,,,,,L,L,R,R,0,1,prolific1,2529.0378495578498,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p1_135,2,R,a,,,,,,,L,L,L,L,X,R,R,R,R,L,L,R,R,0,1,prolific1,2474.885223665224,4,4,1,0.4444444444444444,0.4444444444444444,0.1111111111111111,1
p1_135,2,L,f,L,L,L,L,L,L,R,R,R,,,,,,,L,L,R,R,0,4,prolific1,2503.126341621342,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p1_135,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific1,2482.541168831169,0,9,0,0.0,1.0,0.0,0
p1_135,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_136,3,R,a,,,,,,,X,X,X,X,X,X,X,X,R,L1,L1,R1,R1,0,4,prolific1,2512.677777777778,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_136,2,R,f,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2513.9808465608467,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p1_136,3,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,3,prolific1,2517.3,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p1_136,2,C,m,,,,X,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,2,prolific1,2492.815052910053,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p1_137,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_137,3,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R1,0,4,prolific1,2482.5411688311688,9,0,0,1.0,0.0,0.0,0
p1_137,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific1,2561.6222222222223,9,0,0,1.0,0.0,0.0,0
p1_137,2,C,b,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2477.1562578162584,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_138,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_138,2,C,f,,,,L,X,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2473.143117068117,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,1
p1_138,3,C,m,,,,L,R,R,L,L,R,R,R,R,,,,L1,L1,R1,R1,0,4,prolific1,2440.0027777777777,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_138,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_139,3,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,1,prolific1,2517.3,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p1_139,2,R,f,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2534.517259037259,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
p1_139,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2555.338888888889,0,9,0,0.0,1.0,0.0,0
p1_139,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_140,3,C,f,,,,R,R,R,L,L,L,L,L,R,,,,L1,L1,R1,X1,1,2,prolific1,2334.0777777777776,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_140,2,R,m,,,,,,,R,R,R,X,X,X,X,R,R,R,L,R,L,2,1,prolific1,2279.114417989418,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
p1_140,3,L,a,L,L,L,X,X,X,X,X,X,,,,,,,L1,L1,R1,R3,0,4,prolific1,2515.051111111112,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p1_140,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_141,3,C,a,,,,R,R,R,R,R,R,R,R,R,,,,L1,L2,R1,R1,0,1,prolific1,2481.085613275613,0,9,0,0.0,1.0,0.0,0
p1_141,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,X,1,4,prolific1,2516.2972620897617,9,0,0,1.0,0.0,0.0,0
p1_141,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_141,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,2,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_142,2,L,a,L,L,L,L,L,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2487.083068783069,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_142,3,C,m,,,,L,L,L,L,L,L,L,L,R,,,,L1,L1,R1,R1,0,1,prolific1,2482.226825396825,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_142,2,C,f,,,,L,L,L,L,L,X,R,R,R,,,,L,L,R,R,0,3,prolific1,2474.6068133718136,5,3,1,0.5555555555555556,0.3333333333333333,0.1111111111111111,1
p1_142,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_143,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_143,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_143,3,L,f,L,L,X,L,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,2,prolific1,2513.2555555555555,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p1_143,3,C,a,,,,L,L,L,L,L,L,L,R,R,,,,L1,L1,R1,R1,0,1,prolific1,2482.8034920634923,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_144,2,L,b,L,L,L,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2517.690396825397,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p1_144,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific1,2562.088888888889,9,0,0,1.0,0.0,0.0,0
p1_144,2,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,4,prolific1,2477.9032017057016,9,0,0,1.0,0.0,0.0,0
p1_144,3,R,f,,,,,,,L,L,L,L,X,R,R,R,R,L1,L1,R1,R1,0,1,prolific1,2486.644444444444,4,4,1,0.4444444444444444,0.4444444444444444,0.1111111111111111,1
p1_145,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,3,prolific1,2506.0888888888885,0,0,9,0.0,0.0,1.0,1
p1_145,3,C,f,,,,L,L,L,L,L,X,X,X,X,,,,L1,L1,R1,R1,0,1,prolific1,2480.9487301587305,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_145,3,L,a,X,X,X,X,X,X,X,X,X,,,,,,,L3,L1,R2,R3,0,4,prolific1,2504.6111111111118,0,0,9,0.0,0.0,1.0,1
p1_145,2,C,b,,,,X,X,X,X,X,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2481.775945165946,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
