P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE
p1_012,2,R,a,,,,,,,L,X,X,X,X,X,X,X,R,L,L,R,R,0,3,prolific1,2492.1836507936505
p1_012,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,X,L,R,R,1,1,prolific1,2506.9316022866024
p1_013,3,C,a,,,,L2,L2,L3,L3,L3,L3,L3,L3,R3,,,,X1,L1,R2,R1,1,1,prolific1,2435.661111111111
p1_013,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_013,2,R,b,,,,,,,X,X,X,X,X,X,X,X,X,L,L,X,R,1,3,prolific1,2471.391111111111
p1_013,3,L,f,L2,L2,L2,L2,L2,R2,R2,R2,R2,,,,,,,L1,L1,R1,R1,0,2,prolific1,2492.535555555555
p1_014,2,L,a,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,0,1,prolific1,2542.2136204536205
p1_014,2,C,f,,,,L,X,X,X,R,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2466.8747619047617
p1_014,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,R2,R2,,,,L1,L2,R1,R1,0,4,prolific1,2494.077777777778
p1_014,3,R,b,,,,,,,X1,X1,L2,X1,R2,R2,R2,R2,R2,L1,L1,X1,R1,1,3,prolific1,2453.866666666667
p1_015,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2478.3723328523324
p1_015,3,R,f,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_015,2,L,b,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,1,prolific1,2535.4665569615568
p1_015,3,L,m,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_016,2,R,a,,,,,,,L,L,L,X,X,X,R,R,R,L,L,R,R,0,1,prolific1,2474.5122222222226
p1_016,3,C,b,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R3,0,4,prolific1,2496.561111111111
p1_016,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_016,3,R,m,,,,,,,R3,R3,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2554.1555555555556
p1_017,3,C,a,,,,L1,R2,L2,L2,L2,R1,R1,L1,R2,,,,R2,R1,L1,X1,4,1,prolific1,2114.0133333333333
p1_017,2,L,m,X,R,R,R,L,L,L,X,X,,,,,,,X,L,R,L,2,2,prolific1,2221.753941798942
p1_017,2,R,b,,,,,,,L,L,R,L,R,R,X,R,L,L,X,L,R,2,4,prolific1,2280.393977873978
p1_017,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R2,R2,0,3,prolific1,2556.3222222222225
p1_018,3,C,m,,,,X1,X1,X1,X1,X1,R2,X1,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2481.6688888888893
p1_018,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_018,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_018,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,X,L,R,R,1,1,prolific1,2431.9151798201797
p1_019,3,L,m,X1,X1,X1,X1,L2,R2,X1,R3,R3,,,,,,,L1,L2,R1,R1,0,1,prolific1,2431.094444444445
p1_019,2,C,a,,,,L,L,L,L,X,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2481.7759451659454
p1_019,3,R,f,,,,,,,R3,R3,R3,R3,R3,R3,R2,R2,R2,L2,L1,R1,R1,0,4,prolific1,2559.855555555556
p1_019,2,L,b,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2506.088888888889
p1_020,2,L,a,X,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2501.8029365079365
p1_020,3,C,m,,,,R3,R3,R3,R1,R3,R1,R3,L3,L3,,,,L1,L1,R1,R1,0,1,prolific1,2356.042222222222
p1_020,2,C,f,,,,L,L,X,L,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2478.8505555555557
p1_020,3,R,b,,,,,,,L2,L2,L2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2508.9822222222224
p1_021,2,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L,L,R,R,0,3,prolific1,2419.0549019499017
p1_021,3,L,b,L2,R3,R3,R3,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,4,prolific1,2445.4111111111115
p1_021,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894
p1_021,3,R,a,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_022,2,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,4,prolific1,2419.054901949902
p1_022,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,R3,,,,,,,X1,L1,R1,R1,1,1,prolific1,2497.011111111111
p1_022,3,R,f,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,X1,1,2,prolific1,2513.5
p1_022,2,C,a,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2478.8433140933143
p1_023,3,C,b,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,R3,R1,X1,2,4,prolific1,2364.1133910533913
p1_023,2,R,a,,,,,,,X,X,X,X,X,X,R,R,R,X,L,R,R,1,1,prolific1,2460.1281746031746
p1_023,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R3,L1,L1,X1,X1,2,2,prolific1,2470.333333333333
p1_023,2,L,f,L,L,L,L,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2521.222972582973
p1_024,3,L,b,L2,R3,R3,L3,R3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,2,prolific1,2403.0555555555557
p1_024,3,R,a,,,,,,,L3,L3,L3,L2,R3,R3,R3,R2,R3,L1,L1,R1,R1,0,1,prolific1,2489.472222222222
p1_024,2,R,f,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,3,prolific1,2506.0888888888885
p1_024,2,C,m,,,,L,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,4,prolific1,2486.3457671957676
p1_025,2,C,f,,,,L,L,L,L,L,L,L,R,L,,,,L,L,R,R,0,3,prolific1,2466.2773961223966
p1_025,3,C,m,,,,L2,X1,L3,R3,X1,X1,R3,L3,R3,,,,L3,X1,R3,L3,2,2,prolific1,2270.238888888889
p1_025,2,L,a,L,L,L,X,X,X,X,X,X,,,,,,,L,L,R,R,0,4,prolific1,2517.690396825397
p1_025,3,R,b,,,,,,,L1,R2,X1,X1,R2,X1,L2,X1,X1,X1,R1,L1,R1,3,1,prolific1,2159.952222222222
p1_026,3,L,a,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2562.811111111111
p1_026,3,C,f,,,,R3,R3,R3,R3,R3,R2,R2,R2,R2,,,,L1,L1,R1,X1,1,2,prolific1,2432.1288888888885
p1_026,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_026,2,C,b,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2477.1562578162584
p1_027,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_027,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific1,2506.9316022866024
p1_027,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889
p1_027,3,C,a,,,,L3,L3,L3,L3,R3,R3,R3,R3,R3,,,,L1,L1,R2,R1,0,2,prolific1,2488.7000000000003
p1_028,3,L,m,L2,L2,L2,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R3,0,3,prolific1,2560.444444444445
p1_028,2,C,a,,,,L,X,L,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2484.5317195767193
p1_028,2,L,b,L,L,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,4,prolific1,2496.511560846561
