P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE
p1_051,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_052,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_052,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_052,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_052,3,C,b,,,,L2,L2,L2,L2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,3,prolific1,2484.066507936508
p1_053,3,R,a,,,,,,,L3,L3,L3,X1,X1,X1,R3,R3,R3,L1,L1,R2,R1,0,1,prolific1,2479.8833333333337
p1_053,2,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L,L,R,R,0,3,prolific1,2419.0549019499017
p1_053,2,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2477.903201705702
p1_053,3,L,b,L2,L2,L2,L2,R2,R2,R2,R2,R2,,,,,,,L1,L1,R1,R1,0,2,prolific1,2475.5974603174604
p1_054,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_054,2,C,b,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2477.1562578162584
p1_054,3,C,f,,,,X1,X1,R3,R3,R3,R3,R2,R3,R3,,,,L1,L1,R1,R1,0,2,prolific1,2476.9644444444443
p1_054,3,L,a,L3,L2,L2,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2555.9944444444445
p1_055,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_055,2,C,f,,,,L,L,L,L,L,L,R,R,R,,,,L,L,R,R,0,1,prolific1,2478.372332852333
p1_055,2,L,a,L,L,L,L,L,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2487.083068783069
p1_055,3,C,m,,,,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,L1,L1,R1,R1,0,3,prolific1,2482.5411688311688
p1_056,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_056,3,L,f,L1,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R3,0,2,prolific1,2554.645555555556
p1_056,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific1,2506.9316022866024
p1_056,3,C,a,,,,L1,R3,R3,R3,R3,R2,R2,R2,R2,,,,L3,L2,R1,R1,0,1,prolific1,2473.0566666666664
p1_057,2,C,a,,,,L,L,L,L,L,L,R,R,R,,,,L,L,R,R,0,1,prolific1,2478.372332852333
p1_057,2,L,b,X,X,L,X,X,X,X,R,R,,,,,,,L,L,R,R,0,2,prolific1,2462.4277513227516
p1_057,3,R,f,,,,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,L1,L1,L3,L3,2,3,prolific1,2334.568121693122
p1_057,3,L,m,L2,L2,R3,R3,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,4,prolific1,2458.616666666667
p1_058,3,C,b,,,,L2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,1,prolific1,2482.2268253968255
p1_058,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_058,2,R,a,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,0,2,prolific1,2517.6903968253973
p1_058,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_059,2,C,m,,,,X,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,3,prolific1,2492.815052910053
p1_059,3,L,b,L2,L2,L2,L2,L2,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,1,prolific1,2530.1444444444446
p1_059,3,R,a,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,X1,X1,2,2,prolific1,2470.0777777777776
p1_059,2,R,f,,,,,,,L,L,L,L,L,L,R,L,R,L,L,R,R,0,4,prolific1,2425.0161708661713
p1_060,3,R,f,,,,,,,L3,L3,L3,R3,R3,R3,R3,R2,R2,X1,L1,R1,R1,1,1,prolific1,2468.8777777777777
p1_060,2,C,a,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2477.903201705702
p1_060,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2513.9808465608467
p1_060,3,L,m,L2,L2,L3,X1,X1,X1,L3,L3,R2,,,,,,,L1,L2,R1,R3,0,2,prolific1,2474.3388888888885
p1_061,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_061,3,C,b,,,,R2,R2,R2,R2,L2,R2,R2,R2,L2,,,,L2,L1,R1,R1,0,1,prolific1,2382.2429365079365
p1_061,2,R,a,,,,,,,L,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2535.466556961557
p1_061,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_062,2,R,m,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2534.517259037259
p1_062,3,C,f,,,,L2,R3,R3,R3,R3,R2,R2,R2,R2,,,,L3,L1,R1,R1,0,4,prolific1,2476.112222222222
p1_062,2,C,b,,,,L,L,L,L,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2481.7759451659454
p1_062,3,L,a,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,X1,L1,R2,R1,1,1,prolific1,2507.955555555556
p1_063,3,R,a,,,,,,,X1,X1,X1,X1,R3,R3,R3,R3,R2,L1,L1,R1,R1,0,3,prolific1,2529.3888888888887
p1_063,2,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,4,prolific1,2510.0529365079365
p1_063,3,L,b,L2,L3,L3,L3,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,2,prolific1,2524.755555555556
p1_063,2,C,m,,,,L,L,L,L,L,L,X,X,X,,,,L,L,R,R,0,1,prolific1,2473.6606661856663
p1_064,2,C,b,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2478.8433140933143
p1_064,3,C,f,,,,L2,L2,L2,L2,L2,L2,L2,L3,L3,,,,L1,L1,R2,R2,0,3,prolific1,2470.9479365079364
p1_064,2,R,m,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,X,1,4,prolific1,2466.4157142857143
p1_064,3,L,a,L2,L2,L2,L3,L2,L2,L3,R2,L3,,,,,,,X1,L1,R1,R1,1,1,prolific1,2476.3271428571425
p1_065,3,C,m,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R2,R1,0,3,prolific1,2491.3333333333335
p1_065,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_065,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_065,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,1,prolific1,2477.9032017057016
p1_066,3,R,f,,,,,,,L2,L2,R2,R2,R2,R2,R2,R2,R2,L3,L3,R1,R1,0,1,prolific1,2518.433333333333
p1_066,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,4,prolific1,2513.9808465608467
p1_066,2,C,a,,,,R,R,R,R,R,R,R,R,R,,,,L,L,X,X,2,3,prolific1,2395.778929033929
p1_066,3,L,m,L2,L2,L3,L3,L3,L3,L3,L3,L2,,,,,,,L1,L1,R3,R3,0,2,prolific1,2547.0444444444447
p1_067,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L2,R1,R1,0,4,prolific1,2547.0666666666666
p1_067,2,R,b,,,,,,,X,X,X,X,R,R,R,R,R,L,L,R,R,0,3,prolific1,2524.84303992304
p1_067,2,L,m,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,1,prolific1,2506.088888888889
p1_067,3,C,a,,,,L3,L3,L3,L3,L3,R3,R3,R3,R3,,,,L1,L1,R2,R1,0,2,prolific1,2489.2500000000005
p1_068,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_068,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L2,R1,R1,0,4,prolific1,2557.5333333333338
p1_068,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_068,3,C,b,,,,L2,L2,L2,L2,L2,L2,L2,L2,R2,,,,L1,L1,R1,R1,0,3,prolific1,2482.2268253968255
p1_069,3,R,a,,,,,,,X1,X1,X1,R2,R2,R2,R2,R2,R1,L1,L1,R1,R1,0,4,prolific1,2527.419206349207
p1_069,2,R,f,,,,,,,X,X,X,X,X,R,R,R,R,L,L,R,R,0,3,prolific1,2521.222972582973
p1_069,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894
p1_069,3,L,b,L2,X1,L2,X1,X1,X1,X1,X1,X1,,,,,,,L1,L2,R1,R1,0,2,prolific1,2505.727777777778
p1_070,3,C,f,,,,L1,R2,R1,L2,L2,L2,L2,L2,L2,,,,L1,L1,R1,R2,0,1,prolific1,2360.1303174603177
p1_070,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894
p1_070,3,L,a,X1,L2,L2,L1,L1,X1,X1,L2,X1,,,,,,,L1,L2,L3,L3,2,4,prolific1,2284.275555555556
p1_070,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,X,2,2,prolific1,2468.94878972879
p1_071,2,C,a,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,3,prolific1,2499.0529365079365
p1_071,3,L,m,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R3,0,4,prolific1,2506.9111111111115
p1_071,2,L,b,L,R,R,R,R,R,R,X,X,,,,,,,L,L,R,R,0,1,prolific1,2375.4516304066306
p1_071,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,X1,R2,R2,L1,L1,R1,R1,0,2,prolific1,2517.3
p1_072,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_072,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_072,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L2,L2,R1,R1,0,2,prolific1,2537.442648832649
p1_072,3,C,a,,,,L2,L2,L2,L2,L2,L2,X1,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2477.789603174603
p1_073,2,C,m,,,,X,X,X,X,L,X,X,L,L,,,,R,L,L,L,3,2,prolific1,2177.3042688792684
p1_073,3,R,a,,,,,,,L1,R1,L1,L2,L1,L2,L2,R2,L2,L2,R2,L2,R2,2,1,prolific1,2160.612777777778
p1_073,2,R,f,,,,,,,X,X,X,X,X,X,X,X,X,L,L,X,R,1,3,prolific1,2471.391111111111
p1_073,3,L,b,L1,L2,L1,L2,L1,L2,L2,L2,R2,,,,,,,L2,L1,R1,X1,1,4,prolific1,2461.2099206349203
p1_074,3,C,m,,,,X1,R3,R3,R3,X1,R3,R3,R3,R3,,,,L3,L1,R1,R1,0,3,prolific1,2465.4744444444445
p1_074,2,C,f,,,,X,X,X,X,X,X,R,X,R,,,,L,L,R,X,1,4,prolific1,2427.2679365079366
p1_074,2,L,a,X,X,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,2,prolific1,2488.0529365079365
p1_074,3,R,b,,,,,,,R3,R3,R3,R3,R3,L3,L3,L3,X1,L3,L3,R3,L3,1,1,prolific1,2254.431111111111
p1_075,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2477.903201705702
p1_075,2,R,m,,,,,,,L,L,L,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2467.691560846561
p1_075,3,L,a,L2,L2,L2,L2,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,X1,1,2,prolific1,2438.488888888889
p1_075,3,C,f,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R2,R1,0,3,prolific1,2506.633333333333
p1_076,2,L,m,L,L,X,X,X,X,X,X,R,,,,,,,L,X,R,R,1,4,prolific1,2454.3838888888886
p1_076,3,L,f,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,L3,R1,1,3,prolific1,2462.3222222222225
p1_076,2,R,b,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,0,1,prolific1,2517.6903968253973
p1_076,3,C,a,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,0,2,prolific1,2508.0888888888894
p1_077,3,L,m,X1,X1,X1,X1,X1,X1,X1,L3,L3,,,,,,,R3,L1,R1,R1,1,1,prolific1,2364.8500000000004
p1_077,2,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,X,1,4,prolific1,2444.068757261257
p1_077,2,L,b,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2510.0529365079365
p1_077,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,R2,X1,X1,L1,L1,R3,R3,0,2,prolific1,2493.5604761904765
p1_078,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,,,,L2,L1,R1,R1,0,4,prolific1,2491.3944444444446
p1_078,2,R,a,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,0,3,prolific1,2517.6903968253973
p1_078,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,X,X,R,R,2,2,prolific1,2468.94878972879
p1_078,3,R,m,,,,,,,L2,R3,R2,R3,R3,R2,R2,R2,R2,L3,L1,R1,R1,0,1,prolific1,2531.5833333333335
p1_079,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,2,prolific1,2506.0888888888885
p1_079,3,C,f,,,,L2,L2,L2,L2,L2,L2,L2,R2,R2,,,,L1,L1,R1,R3,0,4,prolific1,2479.3590476190475
p1_079,3,L,a,L2,L2,L2,L2,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2486.266666666667
p1_079,2,C,b,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,R,0,1,prolific1,2478.8433140933143
p1_080,3,R,a,,,,,,,L3,L3,L3,L3,L3,L3,R2,R2,R2,L1,L2,R1,R3,0,4,prolific1,2463.888888888889
p1_080,2,R,f,,,,,,,L,X,X,X,X,X,R,X,R,L,L,R,R,0,1,prolific1,2488.6782275132277
p1_080,3,L,b,L2,L2,L2,R3,L3,L3,L3,L3,R2,,,,,,,L1,L1,R1,R1,0,3,prolific1,2488.2111111111108
p1_080,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2506.0888888888894
p1_081,3,C,a,,,,L3,L3,L3,L3,L3,R2,L3,R2,R2,,,,L1,L1,R1,X1,1,4,prolific1,2437.2911111111116
p1_081,2,R,b,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,1,prolific1,2510.0529365079365
p1_081,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,L3,R1,1,3,prolific1,2478.088888888889
p1_081,2,L,m,L,L,X,X,X,X,X,R,R,,,,,,,L,L,R,R,0,2,prolific1,2481.1856613756618
p1_082,2,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,4,prolific1,2477.9032017057016
p1_082,3,L,m,L2,L2,R2,L2,R2,R2,R2,R2,R2,,,,,,,L1,L1,R1,R1,0,1,prolific1,2445.9236507936507
p1_082,3,R,f,,,,,,,R3,R3,R3,R3,R2,R2,R3,R2,R2,L1,L1,R1,R1,0,2,prolific1,2553.3533333333335
p1_082,2,L,b,L,L,L,L,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2521.222972582973
p1_083,2,R,a,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,4,prolific1,2506.0888888888885
p1_083,3,C,b,,,,L2,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R2,R1,0,1,prolific1,2499.9722222222226
p1_083,3,R,m,,,,,,,X1,X1,X1,X1,X1,X1,X1,X1,R2,L1,L1,R1,R1,0,3,prolific1,2512.677777777778
p1_083,2,L,f,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2513.9808465608467
p1_084,3,C,a,,,,L1,L1,L2,L2,L2,L2,X1,X1,X1,,,,X1,L1,R1,R1,1,1,prolific1,2404.52
p1_084,2,L,m,L,L,L,L,L,R,R,R,R,,,,,,,L,L,R,R,0,4,prolific1,2487.083068783069
p1_084,2,R,b,,,,,,,R,L,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2524.4832236282236
p1_084,3,L,f,L2,L2,L2,L2,L2,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,2,prolific1,2500.111111111111
p1_085,2,R,m,,,,,,,R,L,L,R,L,R,R,L,L,L,L,L,R,1,2,prolific1,2293.999162689163
p1_085,3,C,f,,,,L2,L2,L2,L2,L2,L2,L2,R2,R2,,,,L1,L1,R1,R1,0,4,prolific1,2482.8034920634923
p1_085,3,L,a,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R2,R2,0,3,prolific1,2556.3222222222225
p1_085,2,C,b,,,,R,R,R,R,R,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2389.5738816738817
p1_086,2,L,a,X,X,R,X,R,L,L,L,R,,,,,,,X,L,L,X,3,1,prolific1,2193.941931216931
p1_086,2,C,f,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2477.903201705702
p1_086,3,C,m,,,,R2,X1,X1,X1,X1,X1,R2,R2,R2,,,,L2,L2,R1,R3,0,4,prolific1,2444.878888888889
p1_086,3,R,b,,,,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,L3,L1,R3,R3,0,3,prolific1,2504.833333333334
p1_087,2,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,3,prolific1,2477.9032017057016
p1_087,3,R,f,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L3,L2,R1,X1,1,4,prolific1,2511.2000000000007
p1_087,2,L,b,L,L,L,L,L,L,L,X,X,,,,,,,L,L,R,R,0,1,prolific1,2534.517259037259
p1_087,3,L,m,L1,L2,L2,L2,X1,X1,X1,R3,R3,,,,,,,L1,L2,R1,R1,0,2,prolific1,2489.7300000000005
p1_088,2,R,a,,,,,,,L,L,L,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2467.691560846561
p1_088,2,L,f,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,4,prolific1,2513.9808465608467
p1_088,3,C,b,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,3,prolific1,2482.541168831169
p1_088,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_089,3,R,a,,,,,,,R3,R3,R3,R3,R3,R2,R2,R2,R2,L1,L1,R1,L3,1,2,prolific1,2467.255555555556
p1_089,3,L,b,L2,L3,L3,L3,L3,L3,L3,R3,R3,,,,,,,L1,L2,R1,R1,0,1,prolific1,2523.6611111111115
p1_089,2,C,m,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,3,prolific1,2499.0529365079365
p1_089,2,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,4,prolific1,2510.0529365079365
p1_090,3,C,f,,,,L3,L3,R3,R3,R3,R2,R1,R1,R2,,,,L1,L1,X1,X1,2,2,prolific1,2384.711111111111
p1_090,2,C,b,,,,L,L,L,R,L,L,L,L,R,,,,L,L,R,R,0,3,prolific1,2439.00058996559
p1_090,3,L,a,L3,L3,L3,L3,L3,L3,L3,L3,R3,,,,,,,X1,L1,R1,R1,1,1,prolific1,2496.522222222222
p1_090,2,R,m,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,4,prolific1,2510.0529365079365
p1_091,2,C,f,,,,L,L,L,L,L,L,X,X,R,,,,L,L,R,R,0,1,prolific1,2472.3469360269364
p1_091,3,C,m,,,,R3,L3,R3,R3,R3,R3,R3,R2,R3,,,,L1,L1,R1,R1,0,2,prolific1,2475.7888888888892
p1_091,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_091,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L2,L2,R1,R1,0,4,prolific1,2556.3222222222225
p1_092,3,C,a,,,,X1,X1,X1,X1,L3,X1,L3,L3,L3,,,,L1,L1,R2,R3,0,2,prolific1,2401.6222222222223
p1_092,2,L,m,R,L,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,4,prolific1,2408.0715686165686
p1_092,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_092,3,L,f,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L2,R1,R2,0,1,prolific1,2553.777777777778
p1_093,2,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_093,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,X1,X1,R2,L3,L1,R1,R1,0,4,prolific1,2511.5
p1_093,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2506.0888888888894
p1_093,3,L,m,X1,L2,L2,X1,X1,X1,X1,L2,L3,,,,,,,X1,L1,R2,R1,1,1,prolific1,2415.0555555555557
p1_094,2,R,a,,,,,,,L,R,L,L,R,L,L,R,R,R,L,L,R,2,1,prolific1,2250.632898027898
p1_094,3,C,b,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R3,0,4,prolific1,2466.963391053391
p1_094,2,L,f,R,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2473.464614459614
p1_094,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_095,2,C,m,,,,L,L,L,L,L,L,L,R,R,,,,L,L,R,R,0,3,prolific1,2477.677455692456
p1_095,2,R,f,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,0,4,prolific1,2517.6903968253973
p1_095,3,L,b,L2,R3,R3,R3,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,2,prolific1,2445.4111111111115
p1_095,3,R,a,,,,,,,L2,L2,X1,X1,X1,X1,R2,R2,R2,L1,L1,R1,R1,0,1,prolific1,2490.7555555555555
p1_096,2,C,b,,,,L,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2477.2607294557292
p1_096,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_096,3,L,a,L2,L2,R3,R3,R3,R3,R3,R3,R3,,,,,,,L3,L1,R1,R1,0,4,prolific1,2455.9722222222226
p1_096,3,C,f,,,,L3,L3,L3,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2492.1555555555556
p1_097,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_097,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,3,prolific1,2477.9032017057016
p1_097,3,C,m,,,,L2,L2,L2,L2,L2,L2,L2,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2476.38126984127
p1_097,2,L,a,L,L,L,L,X,X,R,R,R,,,,,,,L,L,R,X,1,2,prolific1,2431.98164983165
p1_098,2,L,m,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2513.9808465608467
p1_098,3,C,a,,,,L2,X1,X1,X1,X1,X1,X1,X1,R2,,,,L1,L1,R1,R1,0,3,prolific1,2494.9333333333334
p1_098,2,R,b,,,,,,,L,L,X,X,X,X,X,X,R,L,L,R,R,0,1,prolific1,2476.179973544973
p1_098,3,L,f,L2,L2,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,4,prolific1,2517.3
p1_099,3,C,b,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,0,4,prolific1,2508.0888888888894
p1_099,3,R,m,,,,,,,L2,L2,L2,X1,X1,X1,X1,R3,R3,L1,L1,R1,R1,0,1,prolific1,2470.21
p1_099,2,R,a,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2534.517259037259
p1_099,2,L,f,L,L,L,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2517.690396825397
p1_100,3,L,a,L2,L1,L2,L2,L2,L2,L2,L3,L3,,,,,,,L1,L1,R1,R3,0,4,prolific1,2541.693174603175
p1_100,2,R,m,,,,,,,L,L,X,X,L,X,X,R,R,L,L,L,R,1,1,prolific1,2364.4294420394417
p1_100,3,C,f,,,,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,L1,L1,L2,L2,2,3,prolific1,2337.175206275206
p1_100,2,C,b,,,,L,R,R,R,R,L,L,R,R,,,,L,L,R,R,0,2,prolific1,2404.7365663965666
p1_101,3,C,a,,,,L3,L3,L2,L3,L3,R3,R3,R3,R3,,,,L1,L2,R1,R1,0,1,prolific1,2480.811111111111
p1_101,2,L,m,L,X,X,X,X,X,X,R,R,,,,,,,L,L,R,R,0,2,prolific1,2476.179973544974
p1_101,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_101,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_102,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2495.5333333333338
p1_102,3,R,b,,,,,,,R3,R3,R3,R3,R2,R2,R2,R2,R2,L3,L3,R1,R1,0,4,prolific1,2555.4000000000005
p1_102,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_102,2,C,f,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2477.1562578162584
p1_103,3,L,m,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,1,prolific1,2562.6833333333334
p1_103,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2506.0888888888894
